id|utterance|description|emotion|date_created|status|gender|age|level|audio_recording|user_id
658|It was also the first mission of the Luna programme.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {also}, {first} and {Luna programme}.|Disgust|2022-07-27 12:23:38.575351|Complete|Female|20s|3|wavs/recorded_audio_ks35cg2.webm|3
659|Another ireful king, Cambises, was a drunk.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {ireful king} and {a drunk}.|Excited|2022-07-27 12:27:04.370911|Complete|Female|20s|7|wavs/recorded_audio_rguPlLs.webm|3
660|This triple tonguing method is most likely the fastest if done correctly.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {triple tonguing}, {fastest} and {correctly}.|Excited|2022-07-27 12:28:59.995915|Complete|Female|20s|8|wavs/recorded_audio_w5IGBKb.webm|3
661|The satellite was constructed from aluminum and used graphite struts.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {satellite} and {satellite}.|Angry|2022-07-27 12:31:20.844671|Complete|Female|20s|8|wavs/recorded_audio_sR15M45.webm|3
662|However, both propellants are extremely toxic.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {both propellants} and {extremely toxic}.|Surprised|2022-07-27 12:32:05.926793|Complete|Female|20s|3|wavs/recorded_audio_Gqa3z7g.webm|3
663|She sank instantly; there were no survivors.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {instantly} and {no survivors}.|Disgust|2022-07-27 12:32:45.323004|Complete|Female|20s|3|wavs/recorded_audio_AgufqzX.webm|3
664|Their mutual grandfather was president of the students union at the University.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Their}, {president} and {University}.|Sarcastic|2022-07-27 12:33:13.550945|Complete|Female|20s|5|wavs/recorded_audio_3yiuO0X.webm|3
665|The Akron Pros ended the season as the only undefeated team in the Association.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {season}, {undefeated} and {Association}.|Sad|2022-07-27 12:34:06.544143|Complete|Female|20s|8|wavs/recorded_audio_jV9wsdD.webm|3
666|There were no bonus features.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {no bonus features}.|Surprised|2022-07-27 12:34:21.468293|Complete|Female|20s|3|wavs/recorded_audio_iIafeNu.webm|3
667|Pompey defeated the Jewish armies in multiple battles, and took the fortresses of Judea.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Jewish armies}, {and} and {Judea}.|Sad|2022-07-27 12:35:59.525356|Complete|Female|20s|7|wavs/recorded_audio_SnNZ2eY.webm|3
668|"""Ruthenians"" and ""Ruthenes"" are now rarely used by Rusyns or Ukrainians."|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {rarely} and {or}.|Happy|2022-07-27 12:38:57.732893|Complete|Female|20s|2|wavs/recorded_audio_Nmg2Ils.webm|3
669|A disease is an abnormal condition affecting the body of an organism.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {disease}.|Neutral|2022-07-27 12:40:01.129071|Complete|Female|20s|0|wavs/recorded_audio_79NOSGu.webm|3
670|Scuba diving off Cienfuegos province is extremely popular both with tourists and locals.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {extremely popular} and {tourists and locals}.|Sarcastic|2022-07-27 12:42:42.611510|Complete|Female|20s|4|wavs/recorded_audio_i4XrWXa.webm|3
671|The last of the petrol engines was designed by Watson himself.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {The last of} and {was designed}.|Happy|2022-07-27 12:43:28.982053|Complete|Female|20s|4|wavs/recorded_audio_vNT3hty.webm|3
672|"Both recordings cover topics such as ""The Italian Job"", Pavlov's dogs and European languages."|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {and}.|Happy|2022-07-27 12:44:42.917298|Complete|Female|20s|3|wavs/recorded_audio_VdZQUAd.webm|3
673|These are separate tokens, and so will remain as such in the program listing.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {These} and {will remain}.|Happy|2022-07-27 12:45:14.423044|Complete|Female|20s|3|wavs/recorded_audio_40VLzQ9.webm|3
674|He is also the patron of the church and town of Bocaue.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {and town}.|Excited|2022-07-27 12:47:39.101926|Complete|Female|20s|8|wavs/recorded_audio_g9Psjl0.webm|3
675|Rebuilding began immediately, and at an impressive pace.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {immediately}, {and} and {impressive pace}.|Disgust|2022-07-27 12:48:15.188962|Complete|Female|20s|3|wavs/recorded_audio_dtexXHi.webm|3
676|The practice has a reputation for designing modernist, yet stylistically restrained buildings.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {reputation} and {restrained}.|Neutral|2022-07-27 12:49:18.996293|Complete|Female|20s|0|wavs/recorded_audio_OtXtoN5.webm|3
677|Successful candidates are highlighted in the relevant colour.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {candidates}, {highlighted} and {colour}.|Disgust|2022-07-27 12:49:51.437092|Complete|Female|20s|2|wavs/recorded_audio_9x6nZhj.webm|3
678|These newspapers intensified their negative attitudes instead and attacked openly the regime in Ankara.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {intensified}, {instead}, {openly} and {regime}.|Sad|2022-07-27 12:51:51.297281|Complete|Female|20s|7|wavs/recorded_audio_ONH9BHa.webm|3
679|The software can run under their respective operating systems natively without emulation.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {can run}, {respective} and {without emulation}.|Disgust|2022-07-27 12:53:43.636482|Complete|Female|20s|4|wavs/recorded_audio_M6Mi56h.webm|3
680|"The pens are also a popular advertising medium and considered a ""premium"" promotion."|"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {are also}, {popular} {and considered a} and {""premium"" promotion}."|Disgust|2022-07-27 12:54:25.590377|Complete|Female|20s|2|wavs/recorded_audio_bfChwyE.webm|3
681|Despite these changes, the album nevertheless received rave reviews upon its release.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {the album} and {rave reviews}.|Excited|2022-07-27 12:55:41.334624|Complete|Female|20s|6|wavs/recorded_audio_v8Cauqs.webm|3
682|However, his achievements in outdoor races remained mixed.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {achievements}.|Neutral|2022-07-27 12:56:19.004323|Complete|Female|20s|0|wavs/recorded_audio_Q1Gr0Jz.webm|3
683|He also became an active member of the Pattern Makers Union.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {also} and {Pattern Makers Union}.|Excited|2022-07-27 12:56:47.653590|Complete|Female|20s|7|wavs/recorded_audio_NRtuPVT.webm|3
684|One was the portrait of John Kennedy, the other Ronald Reagan.|Placing emphasis on {Word} and {Word}, {user_id} said {transcription}.|Angry|2022-07-27 12:58:05.276987|Needs Updating|Female|20s|8|wavs/recorded_audio_KnLwZpQ.webm|3
685|Experimental burns were also recommended to encourage the growth of suitable spinifex habitat.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {burns}, {also} and {suitable}.|Sarcastic|2022-07-27 12:59:59.643750|Complete|Female|20s|2|wavs/recorded_audio_MRMlFrW.webm|3
686|He was born in Atlanta, Georgia.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {in Atlanta, Georgia}.|Disgust|2022-07-27 13:00:38.070972|Complete|Female|20s|3|wavs/recorded_audio_1EeZukq.webm|3
687|Access, inclusion and quality are among the main challenges they can address.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Access, inclusion and quality}.|Angry|2022-07-27 13:01:17.840525|Complete|Female|20s|8|wavs/recorded_audio_M0GQbbV.webm|3
688|One, she must agree to be installed at a temple after one year.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {agree}, {installed} and {one}.|Sad|2022-07-27 13:01:57.612769|Complete|Female|20s|6|wavs/recorded_audio_70lCGDM.webm|3
689|"The specific origins of ""Irene"" are unclear."|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Word} and {Word}.|Disgust|2022-07-27 13:02:49.559131|Needs Updating|Female|20s|3|wavs/recorded_audio_0ki1DKs.webm|3
690|Chukchansi also has a phrase book and dictionary that are partially completed.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {also} and {and}.|Happy|2022-07-27 13:05:22.648137|Complete|Female|20s|3|wavs/recorded_audio_W5EXMUn.webm|3
691|Premier Division Champions.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Word} and {Word}.|Excited|2022-07-27 13:05:45.859808|Needs Updating|Female|20s|9|wavs/recorded_audio_HDXgKvK.webm|3
692|The added pressure weakened Rosebery.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {pressure} and {Rosebery}.|Disgust|2022-07-27 13:06:45.522702|Complete|Female|20s|4|wavs/recorded_audio_WX3yTDA.webm|3
693|The colours of the club consist of red and white vertical stripes.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {red and white}.|Happy|2022-07-27 13:07:24.058100|Complete|Female|20s|3|wavs/recorded_audio_aC7nvFi.webm|3
694|The following are the listed buildings in Keswick.|Placing emphasis on {listed} and {Word}, {user_id} said {transcription}.|Happy|2022-07-27 13:08:09.394803|Complete|Female|20s|2|wavs/recorded_audio_ItBDShw.webm|3
695|This was seen as an early sign that Scotland would vote against independence.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {seen}, {Scotland} and {against}.|Neutral|2022-07-27 13:08:40.454489|Complete|Female|20s|0|wavs/recorded_audio_ly77r84.webm|3
696|Moscow City has a considerable share of stock of the plant.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {considerable share} and {the plant}.|Excited|2022-07-27 13:09:04.624511|Complete|Female|20s|8|wavs/recorded_audio_iqI0GbR.webm|3
697|He was narrowly defeated by Dahir Riyale Kahin.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {defeated}.|Angry|2022-07-27 13:12:20.342638|Complete|Female|20s|7|wavs/recorded_audio_ckkGJ8v.webm|3
698|It houses a canvas by Luca Giordano.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {canvas} and {Luca Giordano}.|Disgust|2022-07-27 13:14:22.002902|Complete|Female|20s|3|wavs/recorded_audio_UCuYMb6.webm|3
699|She is also the mother of Mixcoatl, whom she abandoned at a crossroads.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {whom}.|Neutral|2022-07-27 13:16:20.676102|Complete|Female|20s|0|wavs/recorded_audio_tKJvqya.webm|3
700|Sally has wanted Charlie Brown's bedroom for years.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Sally}, {Charlie Brown's} and {for years}.|Disgust|2022-07-27 13:16:55.763958|Complete|Female|20s|3|wavs/recorded_audio_JIv7bfX.webm|3
701|The executive of the urban agglomeration is the agglomeration council.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {urban agglomeration} and {agglomeration}.|Surprised|2022-07-27 13:18:11.445418|Complete|Female|20s|4|wavs/recorded_audio_DvJfMoN.webm|3
702|As Jehovah's Witnesses we do not believe in creature worship...|Placing emphasis on {As Jehovah's Witnesses} and {do not believe}, {user_id} said {transcription}.|Disgust|2022-07-27 13:18:45.419579|Complete|Female|20s|6|wavs/recorded_audio_DMJxZwx.webm|3
703|Dallaire is an outspoken supporter of raising awareness for veterans' mental health.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {veterans'}.|Excited|2022-07-27 13:20:58.820457|Complete|Female|20s|8|wavs/recorded_audio_d46aQln.webm|3
704|There is a re-introduction scheme in Fennoscandia.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {re-introduction}.|Happy|2022-07-27 13:23:04.902453|Complete|Female|20s|3|wavs/recorded_audio_uNvAwrl.webm|3
705|"""Aurantimonas coralicida"" causes a white plague in corals."|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {white plague} and {corals}.|Excited|2022-07-27 13:26:51.611865|Complete|Female|20s|7|wavs/recorded_audio_LZooRX5.webm|3
706|The school's student body is culturally diverse.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {student body} and {culturally diverse}.|Surprised|2022-07-27 13:27:19.087525|Complete|Female|20s|3|wavs/recorded_audio_gTgn9c0.webm|3
707|Also new for export models was the availability of a three-speed automatic.|Placing emphasis on {availability} and {three-speed}, {user_id} said {transcription}.|Sad|2022-07-27 13:27:52.050318|Complete|Female|20s|8|wavs/recorded_audio_6EvwghX.webm|3
708|Then she stood up.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Then}.|Happy|2022-07-27 13:28:09.159997|Complete|Female|20s|2|wavs/recorded_audio_RdxnI19.webm|3
709|Mount Bailey is a popular destination for recreational activities.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Word} and {Word}.|Sarcastic|2022-07-27 13:28:50.661575|Needs Updating|Female|20s|3|wavs/recorded_audio_vInyRJc.webm|3
710|We needn't drag Townsend into it.|Placing emphasis on {drag}, {user_id} said {transcription}.|Happy|2022-07-27 13:29:45.997652|Complete|Female|20s|2|wavs/recorded_audio_t3lnOha.webm|3
711|This book includes many songs which are connected to the story.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {many songs} and {story}.|Sarcastic|2022-07-27 13:30:18.244599|Complete|Female|20s|3|wavs/recorded_audio_OAlPhwz.webm|3
712|The player loses the game when the Drain fills up to the top.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {player} and {to the top}.|Angry|2022-07-27 13:30:43.675069|Complete|Female|20s|9|wavs/recorded_audio_HTIomoc.webm|3
713|The state bought the land from him and named the city in his honor.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {The state}.|Sad|2022-07-27 13:32:09.849703|Complete|Female|20s|7|wavs/recorded_audio_KZDzXO8.webm|3
714|It was destroyed by a neutron bomb blowing up over the building.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {destroyed}, {bomb} and {blowing up}.|Disgust|2022-07-27 13:32:42.000923|Complete|Female|20s|6|wavs/recorded_audio_WwUaogu.webm|3
715|Apparently married young, she had one child while on Earth before her husband died.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {one} and {her husband}.|Sad|2022-07-27 13:33:20.142066|Complete|Female|20s|8|wavs/recorded_audio_jCU2Rdz.webm|3
716|It is housed in the Detroit Public Library.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {housed}.|Excited|2022-07-27 13:33:42.271611|Complete|Female|20s|9|wavs/recorded_audio_j9ZupZR.webm|3
717|My socialism it is justice.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {socialism}.|Sarcastic|2022-07-27 13:34:45.665530|Complete|Female|20s|2|wavs/recorded_audio_AwO4UV2.webm|3
718|The emblem consists of several components.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {several}.|Angry|2022-07-27 13:35:39.086383|Complete|Female|20s|8|wavs/recorded_audio_9D8KrU8.webm|3
719|Now let us act a proverb.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Now} and {proverb}.|Sarcastic|2022-07-27 13:36:06.654706|Complete|Female|20s|2|wavs/recorded_audio_4ncKAFC.webm|3
720|The nearby cities of Ione and Lexington also sustained significant damage.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {cities}, {and} and {significant}.|Sad|2022-07-27 13:36:46.546593|Complete|Female|20s|8|wavs/recorded_audio_4FDwfxN.webm|3
721|The costs of building the docks had been far more than anticipated, however.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {far}.|Neutral|2022-07-28 12:22:23.613521|Complete|Female|20s|0|wavs/recorded_audio_jalDCLf.webm|3
722|The president of the front was Mamadou Dia.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {front}.|Surprised|2022-07-28 12:24:11.217429|Complete|Female|20s|5|wavs/recorded_audio_DvWfwDl.webm|3
723|Professor Yankelevich died in Moscow.|Placing emphasis on {Word} and {Word}, {user_id} said {transcription}.|Sad|2022-07-28 12:26:53.228987|Needs Updating|Female|20s|6|wavs/recorded_audio_uTM3fOM.webm|3
724|A lemon tea could be great to drink this summer.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {lemon tea} and {great}.|Excited|2022-07-28 12:27:42.518000|Complete|Female|20s|6|wavs/recorded_audio_2OOOPay.webm|3
725|The Don Bosco College is situated in Fuiloro.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {College} and {Fuiloro}.|Sad|2022-07-28 12:31:09.708416|Complete|Female|20s|6|wavs/recorded_audio_VqRGmGO.webm|3
726|The sum of the thunderbolt products is the first.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {sum} and {the first}.|Happy|2022-07-28 12:31:39.444692|Complete|Female|20s|3|wavs/recorded_audio_6mzj0bG.webm|3
727|I had a great time working with Bob Ezrin, who produced it.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Bob Ezrin} and {produced it}.|Surprised|2022-07-28 12:32:10.581422|Complete|Female|20s|5|wavs/recorded_audio_skeLStj.webm|3
728|Antoine was able to enlarge his duchy through heritages and acquisitions.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {enlarge} and {and}.|Excited|2022-07-28 12:34:11.007181|Complete|Female|20s|7|wavs/recorded_audio_DFefOy0.webm|3
729|Right, well let's poke around his lab a little.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {well}.|Neutral|2022-07-28 12:34:44.061535|Complete|Female|20s|0|wavs/recorded_audio_2L15dOV.webm|3
730|The twenty million dollar project is projected to be finished in eight weeks.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {twenty million dollar}.|Neutral|2022-07-28 12:35:47.692703|Complete|Female|20s|0|wavs/recorded_audio_2bB5eWe.webm|3
731|As like as two peas.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {two}.|Neutral|2022-07-28 12:36:28.122027|Complete|Female|20s|0|wavs/recorded_audio_Kwtnwq0.webm|3
732|A second comfortable victory at the Battle of Cladyford followed.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {second}, {at the Battle} and {followed}.|Disgust|2022-07-28 12:38:45.874085|Complete|Female|20s|2|wavs/recorded_audio_uo9trlv.webm|3
733|"Jason flew a ""Starfire""."|"In an {emotion} voice, {user_id} says {transcription}. emphasising on {flew a} and {""Starfire""}."|Excited|2022-07-28 12:39:14.304012|Complete|Female|20s|6|wavs/recorded_audio_oK5dTDZ.webm|3
734|Thirlby has been a regular member of the England Sevens team.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {regular} and {England Sevens team}.|Neutral|2022-07-28 12:40:32.307901|Complete|Female|20s|0|wavs/recorded_audio_MbwY20J.webm|3
735|"Sorel's vision of socialism was ""a-Marxist, anti-Marxist, eventually post-Marxist revisionist""."|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {eventually} and {revisionist}.|Sad|2022-07-28 12:43:36.104582|Complete|Female|20s|8|wavs/recorded_audio_z6NhvPD.webm|3
736|Among her most well-known stories is How Ms. Pac-Man Ruined My Gang Life.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {well-known}, {Ms. Pac-Man} and {Gang Life}.|Sad|2022-07-28 12:44:34.589236|Complete|Female|20s|8|wavs/recorded_audio_xNCWmyp.webm|3
737|The titles and subtitles of his books are notable for being lengthy.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {and} and {notable}.|Happy|2022-07-28 12:47:19.015113|Complete|Female|20s|3|wavs/recorded_audio_1Xqn3kh.webm|3
738|Amor is named after the Roman god of love, better known as Cupid.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {Roman god of love} and {Cupid}.|Excited|2022-07-28 12:48:19.387283|Complete|Female|20s|8|wavs/recorded_audio_ClgardF.webm|3
739|Every Trustee serves a liaison on one or more of the bodies.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Trustee}, {liaison}, {one or more} and {bodies}.|Surprised|2022-07-28 12:49:19.402272|Complete|Female|20s|5|wavs/recorded_audio_bhubyiY.webm|3
740|Most subdivisions have one to zoning.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {subdivisions} and {one}.|Excited|2022-07-28 12:49:52.833165|Complete|Female|20s|8|wavs/recorded_audio_Ttj3Kdc.webm|3
741|Laws relating to the imperial house must be approved by the Diet.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {imperial house}, {must} and {Diet}.|Excited|2022-07-28 12:51:08.831425|Complete|Female|20s|8|wavs/recorded_audio_i4R6L4V.webm|3
742|A system of launch point locations was created along the river for the trail.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {created along the river} and {trail}.|Excited|2022-07-28 12:52:18.580034|Complete|Female|20s|8|wavs/recorded_audio_Qfb15uP.webm|3
743|"After more than two decades, the term ""Hilton Magic"" still applies today."|"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {two decades}, {""Hilton Magic""} and {today}."|Angry|2022-07-28 12:52:49.475439|Complete|Female|20s|9|wavs/recorded_audio_fnmD2s8.webm|3
744|Only four years later, after Casimir's death, Liubartas recaptured the city.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {four years later} and {recaptured}.|Excited|2022-07-28 12:56:19.298462|Complete|Female|20s|6|wavs/recorded_audio_chVR6Kb.webm|3
745|"Originally, the program's title was ""The Funtastic Treasure Hunt""."|"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Originally} and {""The Funtastic Treasure Hunt""}."|Surprised|2022-07-28 12:57:17.943589|Complete|Female|20s|4|wavs/recorded_audio_aN64oLR.webm|3
746|In this way, it may be possible to find both openings.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {both}.|Surprised|2022-07-28 12:57:46.541793|Complete|Female|20s|3|wavs/recorded_audio_D943nCS.webm|3
747|They were forbidden to use their own language and customs.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {forbidden} and {own language and customs}.|Sad|2022-07-28 12:58:31.251811|Complete|Female|20s|9|wavs/recorded_audio_ohfGcS9.webm|3
748|The stems are hairless and grooved.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {hairless and grooved}.|Sad|2022-07-28 12:58:49.401684|Complete|Female|20s|8|wavs/recorded_audio_zjK4uvM.webm|3
749|These boxes are then distributed overseas by volunteers.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {These boxes} and {volunteers}.|Surprised|2022-07-28 12:59:22.871421|Complete|Female|20s|5|wavs/recorded_audio_dX5cGpK.webm|3
750|It is situated at the foot of the Euganei Hills.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {at the foot}.|Surprised|2022-07-28 13:00:43.248782|Complete|Female|20s|4|wavs/recorded_audio_n0q74wd.webm|3
751|Dubrovnik has also been mentioned in popular film and theatre.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {also} and {popular}.|Neutral|2022-07-28 13:01:31.152377|Complete|Female|20s|0|wavs/recorded_audio_ZopHHrM.webm|3
752|The name was also given to a journal associated with the movement.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {The name}, {also}, {associated} and {movement}.|Disgust|2022-07-28 13:01:58.988430|Complete|Female|20s|4|wavs/recorded_audio_fw80py0.webm|3
753|Unlike the macaques, it avoids humans.|With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {avoids}.|Happy|2022-07-28 13:03:00.253540|Complete|Female|20s|2|wavs/recorded_audio_x8ZgdQ0.webm|3
754|However, they are on good terms these days.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {However}.|Neutral|2022-07-28 13:03:30.497525|Complete|Female|20s|0|wavs/recorded_audio_G482BgW.webm|3
755|He played in football as a cornerback, safety, wide receiver, and running back.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {football} and {cornerback, safety, wide receiver, and running back}.|Surprised|2022-07-28 13:04:00.536047|Complete|Female|20s|5|wavs/recorded_audio_YfDPjXc.webm|3
756|"This letter is dated by the reference to Alexander as ""Pope-elect""."|"{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {reference to Alexander} and {""Pope-elect""}."|Sad|2022-07-28 13:04:35.486799|Needs Updating|Female|20s|8|wavs/recorded_audio_s0gzHri.webm|3
757|The operator controls refueling operations through a digital fly-by wire system.|Placing emphasis on {refueling operations} and {fly-by wire}, {user_id} said {transcription}, in an {emotion} voice.|Angry|2022-07-28 13:06:04.679882|Complete|Female|20s|8|wavs/recorded_audio_mM3uJ0d.webm|3
758|This locomotive has no tender.|Placing emphasis on {locomotive} and {no}, {user_id} said {transcription}, in an {emotion} voice.|Sad|2022-07-28 13:06:51.027573|Complete|Female|20s|9|wavs/recorded_audio_vgGDmpj.webm|3
759|A third span was damaged and later collapsed into the river.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {collapsed} and {river}.|Angry|2022-07-28 13:07:20.905287|Complete|Female|20s|10|wavs/recorded_audio_8fs5av0.webm|3
760|Following the successes of Blackton and Cohl, many other artists began experimenting with animation.|Placing emphasis on {and} and {experimenting}, {user_id} said {transcription}, in an {emotion} voice.|Surprised|2022-07-28 13:08:14.533149|Complete|Female|20s|3|wavs/recorded_audio_WtKDjnj.webm|3
761|The woods include ash, oak, and hazel.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {include ash, oak, and hazel}.|Disgust|2022-07-28 13:13:38.360086|Complete|Female|20s|3|wavs/recorded_audio_SQHzfnd.webm|3
762|The overlapped part is trapped and is the hold-side.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {overlapped}, {trapped}, {and} and {hold-side}.|Disgust|2022-07-28 13:14:31.410365|Complete|Female|20s|2|wavs/recorded_audio_pKBsD7z.webm|3
763|The motion is decided by a judge in both civil and criminal proceedings.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {motion} and {judge}.|Sarcastic|2022-07-28 13:14:56.621147|Complete|Female|20s|2|wavs/recorded_audio_Wf4mKq1.webm|3
764|"Differently, however, ""Drawn Together"" used caricatures of established cartoon characters and stock characters."|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {cartoon} and {stock characters}.|Excited|2022-07-28 13:15:32.884627|Complete|Female|20s|8|wavs/recorded_audio_Hbda1lV.webm|3
765|Winn Elementary School was located in Hutchins.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Winn Elementary School} and {Hutchins}.|Angry|2022-07-28 13:16:10.807278|Complete|Female|20s|8|wavs/recorded_audio_Ifrouey.webm|3
766|Economic arguments against free trade criticize the assumptions or conclusions of economic theories.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {criticize} and {or}.|Excited|2022-07-28 13:17:06.460503|Complete|Female|20s|8|wavs/recorded_audio_ZCaI5MH.webm|3
767|As to my heart, I belong entirely to the Heart of Jesus.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {belong entirely}.|Disgust|2022-07-28 13:17:34.099055|Complete|Female|20s|4|wavs/recorded_audio_5gXIQEp.webm|3
768|Their daughter Orla is married with one child herself.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Orla}.|Happy|2022-07-28 13:18:10.354459|Complete|Female|20s|2|wavs/recorded_audio_rFCCrwX.webm|3
769|This was his final appearance recorded.|{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {This was}.|Excited|2022-07-28 13:18:36.200047|Complete|Female|20s|8|wavs/recorded_audio_8M1Umhy.webm|3
770|He played two seasons with the Winnipeg Victorias before retiring from competitive ice hockey.|{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {two}, {before retiring} and {ice hockey}.|Disgust|2022-07-28 13:19:24.183341|Complete|Female|20s|6|wavs/recorded_audio_wBtyCGw.webm|3
771|It is one of four nonconvex regular polyhedra.|In an {emotion} voice, {user_id} says {transcription}. emphasising on {four}.|Neutral|2022-07-28 13:21:15.575325|Complete|Female|20s|0|wavs/recorded_audio_9JGZMuz.webm|3
